ランドマーク名,緯度,経度,発話範囲（半径ｍ）,該当範囲（半径ｍ）,クーポン取得範囲（半径m）
ホンダカーズ全国,36.047455,140.149802,400,0,800
ホンダカーズ全国,36.104046,140.20396,400,0,800
ホンダカーズ全国,36.080127,140.191834,400,0,800
ホンダカーズ全国,36.036645,140.16214,400,0,800
ホンダカーズ全国,36.124209,140.214891,400,0,800
ホンダカーズ全国,36.120938,140.169225,400,0,800
ホンダカーズ全国,36.102838,140.215081,400,0,800
ホンダカーズ全国,36.31445,140.438417,400,0,800
ホンダカーズ全国,36.544762,140.622574,400,0,800
ホンダカーズ全国,36.690622,140.713185,400,0,800
ホンダカーズ全国,36.642402,140.686739,400,0,800
ホンダカーズ全国,36.616588,140.673628,400,0,800
ホンダカーズ全国,36.603234,140.664237,400,0,800
ホンダカーズ全国,36.165469,140.524838,400,0,800
ホンダカーズ全国,36.836469,140.781859,400,0,800
ホンダカーズ全国,35.93996,140.17283,400,0,800
ホンダカーズ全国,35.927536,140.17595,400,0,800
ホンダカーズ全国,34.571913,133.472061,400,0,800
ホンダカーズ全国,34.670492,133.945257,400,0,800
ホンダカーズ全国,34.673936,133.966857,400,0,800
ホンダカーズ全国,34.633443,133.953299,400,0,800
ホンダカーズ全国,34.657847,134.018658,400,0,800
ホンダカーズ全国,34.691835,134.008923,400,0,800
ホンダカーズ全国,34.624269,133.877271,400,0,800
ホンダカーズ全国,34.549591,133.826621,400,0,800
ホンダカーズ全国,34.626141,133.938542,400,0,800
ホンダカーズ全国,34.646988,133.870714,400,0,800
ホンダカーズ全国,34.632151,133.918384,400,0,800
ホンダカーズ全国,34.648489,133.884762,400,0,800
ホンダカーズ全国,34.648086,133.882193,400,0,800
ホンダカーズ全国,34.695035,133.899572,400,0,800
ホンダカーズ全国,34.491265,133.948445,400,0,800
ホンダカーズ全国,34.780922,133.471727,400,0,800
ホンダカーズ全国,34.987862,133.697932,400,0,800
ホンダカーズ全国,35.063166,133.751638,400,0,800
ホンダカーズ全国,34.737925,134.00788,400,0,800
ホンダカーズ全国,34.51804,133.570611,400,0,800
ホンダカーズ全国,34.522242,133.577924,400,0,800
ホンダカーズ全国,34.58821,133.754493,400,0,800
ホンダカーズ全国,34.565857,133.767943,400,0,800
ホンダカーズ全国,34.56339,133.685228,400,0,800
ホンダカーズ全国,34.579436,133.769965,400,0,800
ホンダカーズ全国,34.473163,133.825563,400,0,800
ホンダカーズ全国,34.57705,133.727112,400,0,800
ホンダカーズ全国,34.579441,133.731573,400,0,800
ホンダカーズ全国,34.58368,133.739311,400,0,800
ホンダカーズ全国,34.523428,133.75894,400,0,800
